Participantno,Age,CommuteTime,CountryCitizen,CountryLive,EmploymentField,EmploymentFieldOther,EmploymentStatus,ExpectedEarning,FinanciallySupporting,FirstDevJob,Gender,HasChildren,HasDebt,HasFinancialDependents,HasHighSpdInternet,HasHomeMortgage,HasServedInMilitary,HasStudentDebt,HomeMortgageOwe,HoursLearning,Income,IsEthnicMinority,IsReceiveDisabilitiesBenefits,IsSoftwareDev,IsUnderEmployed,LanguageAtHome,MaritalStatus,MoneyForLearning,MonthsProgramming
67,22,Less than 15 minutes,United States of America,United States of America,software development and IT,NA,Employed for wages,40000,NA,NA,male,NA,0,0,1,NA,0,NA,NA,10,30000,0,0,0,0,English,"single, never married",50,18
68,22,NA,United States of America,United States of America,NA,NA,Not working but looking for work,60000,NA,NA,male,NA,1,0,1,0,0,1,NA,25,NA,0,0,0,NA,English,married or domestic partnership,50,28
69,31,15 to 29 minutes,Jamaica,United States of America,software development and IT,NA,Self-employed freelancer,50000,NA,NA,male,NA,0,0,1,NA,0,NA,NA,21,12000,1,0,0,1,English,married or domestic partnership,5000,14
70,45,NA,United States of America,United States of America,NA,NA,Unable to work,NA,1,NA,male,0,1,1,1,0,1,0,NA,15,NA,0,1,0,NA,English,married or domestic partnership,0,3
71,48,15 to 29 minutes,United States of America,United States of America,"arts, entertainment, sports, or media",NA,Employed for wages,60000,NA,NA,male,NA,1,0,1,1,0,0,199000,20,55000,0,0,0,0,English,married or domestic partnership,150,3
72,25,More than 60 minutes,Philippines,Philippines,software development and IT,NA,Employed for wages,NA,1,NA,male,0,0,1,0,NA,0,NA,NA,2,8000,0,0,0,0,Tagalog,"single, never married",NA,36
73,33,15 to 29 minutes,United States of America,United States of America,health care,NA,Employed for wages,NA,NA,NA,male,NA,1,0,1,1,0,1,120000,16,40000,0,0,0,1,English,married or domestic partnership,0,3
74,25,Less than 15 minutes,New Zealand,New Zealand,NA,Customer Service,Employed for wages,NA,NA,NA,male,NA,1,0,1,0,0,1,NA,10,10000,0,0,0,0,English,"single, never married",0,52
75,19,NA,United States of America,India,NA,NA,NA,NA,NA,NA,male,NA,0,0,0,NA,0,NA,NA,10,NA,1,0,0,NA,English,"single, never married",0,5
76,30,45 to 60 minutes,Canada,Canada,software development and IT,NA,Employed for wages,NA,NA,0,male,NA,0,0,1,NA,0,NA,NA,10,70000,1,0,1,0,Korean,"single, never married",10000,48
77,30,30 to 44 minutes,India,India,software development and IT,NA,Employed for wages,NA,0,0,male,0,1,1,0,1,0,0,NA,20,NA,0,0,1,0,Tamil,"single, never married",NA,NA
78,26,Less than 15 minutes,India,India,software development and IT,NA,Employed for wages,NA,1,0,male,0,1,1,1,0,0,0,NA,2,13000,0,0,1,1,Marathi,"single, never married",500,48
79,24,NA,Canada,Canada,NA,NA,Not working and not looking for work,NA,NA,NA,male,NA,0,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,NA,French,NA,20,36
80,21,NA,Israel,Israel,NA,NA,Military,NA,NA,1,male,NA,0,0,1,NA,1,NA,NA,5,NA,0,0,1,NA,Russian,"single, never married",0,36
81,25,45 to 60 minutes,India,India,software development and IT,NA,Employed for wages,NA,NA,1,male,NA,0,0,0,NA,0,NA,NA,26,6000,1,1,1,0,Gujarati,"single, never married",400,18
82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,43,15 to 29 minutes,Germany,Germany,"arts, entertainment, sports, or media",NA,Employed for wages,NA,NA,NA,male,NA,0,0,1,NA,1,NA,NA,7,39000,0,0,0,0,German,married or domestic partnership,0,3
84,26,More than 60 minutes,India,India,software development and IT,NA,Employed for wages,NA,NA,1,male,NA,0,0,1,NA,0,NA,NA,36,7463,0,0,1,0,Hindi,"single, never married",80,24
85,28,I work from home,United States of America,United States of America,software development and IT,NA,Self-employed freelancer,46000,NA,NA,male,NA,0,0,1,NA,0,NA,NA,15,20000,1,0,0,1,Spanish,"single, never married",200,12
86,23,15 to 29 minutes,Russia,Russia,software development and IT,NA,Employed for wages,NA,NA,0,male,NA,0,0,1,NA,0,NA,NA,8,7000,0,0,1,0,Russian,"single, never married",0,14
87,21,NA,India,India,NA,NA,Not working but looking for work,NA,0,NA,male,0,0,1,1,NA,0,NA,NA,1,NA,0,0,0,NA,Marathi,"single, never married",0,5
88,26,30 to 44 minutes,Canada,Canada,software development and IT,NA,Employed for wages,NA,NA,NA,male,NA,1,0,0,0,0,1,NA,60,20000,0,0,0,1,Portuguese,"single, never married",0,58
89,24,NA,Australia,Australia,NA,NA,NA,45000,NA,NA,female,NA,1,0,1,0,0,1,NA,40,NA,0,0,0,NA,English,"single, never married",9600,2
90,17,NA,Canada,Canada,NA,NA,Not working and not looking for work,40000,NA,NA,male,NA,0,0,1,NA,0,NA,NA,10,NA,0,0,0,NA,English,"single, never married",20,19
91,22,More than 60 minutes,India,India,software development and IT,NA,Employed for wages,NA,NA,1,male,NA,0,0,1,NA,0,NA,NA,30,NA,0,0,1,0,Konkani,"single, never married",0,24
92,25,15 to 29 minutes,South Africa,South Africa,software development and IT,NA,Employed for wages,NA,NA,1,male,NA,1,0,1,0,0,1,NA,5,NA,NA,0,1,0,Afrikaans,"single, never married",1800,45
93,26,30 to 44 minutes,India,India,software development and IT,NA,Employed for wages,NA,NA,1,male,NA,0,0,1,NA,0,NA,NA,20,10000,0,0,1,1,Hindi,"single, never married",0,60
94,20,NA,Egypt,Egypt,NA,NA,Not working but looking for work,50000,NA,NA,male,NA,0,NA,1,NA,0,NA,NA,6,NA,1,0,0,NA,Arabic,"single, never married",20,24
95,28,45 to 60 minutes,Romania,Romania,finance,NA,Employed for wages,NA,NA,NA,female,NA,0,0,1,NA,0,NA,NA,1,56000,0,0,0,1,Romanian,"single, never married",700,9
96,32,15 to 29 minutes,United States of America,United States of America,office and administrative support,NA,Employed for wages,NA,NA,NA,male,NA,0,0,1,NA,0,NA,NA,12,72000,0,0,0,0,English,"single, never married",0,24
97,28,45 to 60 minutes,Italy,Germany,software development and IT,NA,Employed for wages,NA,0,0,genderqueer,0,0,1,1,NA,0,NA,NA,8,20000,1,0,1,0,Italian,married or domestic partnership,NA,12
98,30,NA,United States of America,United States of America,NA,NA,Not working but looking for work,65000,NA,NA,female,NA,1,0,1,0,0,1,NA,15,NA,1,0,0,NA,English,married or domestic partnership,500,3
99,22,45 to 60 minutes,United Kingdom,United Kingdom,software development and IT,NA,Employed for wages,NA,NA,0,male,NA,NA,NA,1,NA,0,NA,NA,5,NA,0,0,1,1,English,NA,0,48
100,26,I work from home,India,Lithuania,NA,International cargo trade,Self-employed business owner,30000,NA,NA,male,NA,1,0,1,0,0,0,NA,10,10000,1,0,0,1,Hindi,"single, never married",300,3
101,NA,NA,"Netherlands (Holland, Europe)",NA,NA,NA,NA,NA,NA,NA,male,NA,1,0,1,0,0,1,NA,NA,NA,1,0,0,NA,NA,"single, never married",NA,NA
102,30,15 to 29 minutes,South Africa,South Africa,software development and IT,NA,Employed for wages,NA,0,0,male,0,1,1,1,0,0,0,NA,NA,25000,1,0,1,0,Afrikaans,married or domestic partnership,0,36
103,21,NA,Egypt,Egypt,NA,NA,A stay-at-home parent or homemaker,NA,NA,NA,male,NA,0,0,0,NA,0,NA,NA,38,NA,NA,0,0,NA,Arabic,"single, never married",0,NA
104,24,NA,Romania,Romania,NA,NA,NA,NA,NA,1,female,NA,0,0,1,NA,0,NA,NA,8,NA,0,0,1,NA,Romanian,"single, never married",0,18
105,24,Less than 15 minutes,India,India,software development and IT,NA,Employed for wages,NA,NA,1,male,NA,1,0,1,1,0,0,NA,30,NA,0,0,1,1,Tamil,"single, never married",100,20
106,28,15 to 29 minutes,Finland,Finland,finance,NA,Employed for wages,40000,NA,NA,male,NA,0,0,1,NA,1,NA,NA,30,30000,0,0,0,1,Finnish,"single, never married",100,2
107,35,15 to 29 minutes,Germany,Germany,construction and extraction,NA,Employed for wages,NA,NA,NA,male,NA,0,0,1,NA,0,NA,NA,NA,50000,0,0,0,1,German,married or domestic partnership,NA,NA
108,29,NA,Belgium,Belgium,NA,NA,Not working but looking for work,NA,NA,NA,male,NA,1,0,1,0,0,0,NA,20,NA,0,NA,0,NA,Dutch,"single, never married",100,12
109,28,NA,Bosnia & Herzegovina,Bosnia & Herzegovina,NA,NA,Not working but looking for work,20000,NA,NA,male,NA,0,0,0,NA,0,NA,NA,56,NA,1,0,0,NA,Bosnian,"single, never married",2000,24
110,35,Less than 15 minutes,Poland,Great Britain,software development and IT,NA,Employed for wages,NA,NA,NA,male,NA,1,0,1,0,0,1,NA,10,NA,0,0,0,0,Polish,"single, never married",1000,12
111,26,30 to 44 minutes,Australia,Australia,software development and IT,NA,Self-employed freelancer,60000,NA,NA,male,NA,0,0,1,NA,0,NA,NA,20,40000,0,0,0,1,English,"single, never married",2000,36
112,22,NA,Czech Republic,Czech Republic,NA,NA,Not working but looking for work,NA,NA,NA,male,NA,0,0,1,NA,0,NA,NA,8,NA,0,0,0,NA,Czech,"single, never married",0,2
113,42,NA,United States of America,"Netherlands (Holland, Europe)",NA,NA,Doing an unpaid internship,40000,NA,NA,male,NA,1,0,1,1,1,1,200000,20,NA,0,0,0,NA,English,married or domestic partnership,200,24
114,33,NA,Kenya,Kenya,NA,NA,NA,40000,1,NA,male,0,1,1,0,0,0,0,NA,30,NA,0,0,0,NA,English,"single, never married",0,30
115,53,I work from home,France,Switzerland,finance,NA,Self-employed freelancer,120000,NA,NA,male,NA,NA,NA,1,NA,0,NA,NA,7,NA,0,0,0,1,French,NA,1000,48
116,48,15 to 29 minutes,Germany,Germany,"arts, entertainment, sports, or media",NA,Self-employed freelancer,NA,NA,NA,male,NA,0,0,0,NA,0,NA,NA,1,NA,0,0,0,0,German,married or domestic partnership,100,36
117,23,NA,Hungary,Hungary,NA,NA,Not working and not looking for work,NA,NA,NA,male,NA,0,0,1,NA,0,NA,NA,NA,NA,0,0,0,NA,Hungarian,"single, never married",NA,NA
118,26,15 to 29 minutes,India,India,food and beverage,NA,Employed for wages,NA,NA,0,male,NA,0,0,1,NA,0,NA,NA,8,15000,0,0,1,0,Hindi,"single, never married",200,48
119,19,NA,India,India,NA,NA,A stay-at-home parent or homemaker,80000,NA,NA,male,NA,0,0,0,NA,0,NA,NA,15,NA,0,0,0,NA,Hindi,"single, never married",0,9
120,32,Less than 15 minutes,Romania,Romania,software development and IT,NA,Employed for wages,NA,NA,0,male,NA,0,0,1,NA,0,NA,NA,NA,10000,1,0,1,0,Romanian,"single, never married",0,36
121,20,NA,India,India,NA,NA,Not working and not looking for work,NA,NA,NA,male,NA,0,0,0,NA,0,NA,NA,12,NA,0,0,0,NA,Bengali,"single, never married",0,36
122,32,15 to 29 minutes,Italy,Italy,NA,Automotive,Employed for wages,NA,NA,NA,male,NA,1,0,1,1,0,0,NA,12,50000,0,0,0,0,Italian,"single, never married",25,9
123,36,15 to 29 minutes,Italy,Italy,software development and IT,NA,Employed for wages,NA,NA,1,male,NA,0,0,1,NA,0,NA,NA,15,10000,0,0,1,0,Italian,married or domestic partnership,300,24
124,16,NA,United Kingdom,United Kingdom,NA,NA,NA,NA,NA,NA,male,NA,0,0,1,NA,0,NA,NA,10,NA,0,0,0,NA,English,"single, never married",5,14
125,28,NA,Serbia,Serbia,NA,NA,Not working but looking for work,NA,NA,NA,male,NA,1,0,1,0,1,0,NA,40,NA,0,0,0,NA,Serbian,"single, never married",0,15
126,29,15 to 29 minutes,France,France,software development and IT,NA,Employed for wages,NA,NA,0,male,NA,1,0,1,0,0,1,NA,10,30000,0,0,1,0,French,married or domestic partnership,500,48
127,25,More than 60 minutes,Kazakhstan,Czech Republic,software development and IT,NA,Employed for wages,NA,NA,0,male,NA,0,0,1,NA,0,NA,NA,24,18000,0,0,1,0,Russian,"single, never married",3000,36
128,28,30 to 44 minutes,Egypt,Egypt,software development and IT,NA,Self-employed freelancer,NA,NA,1,male,NA,0,0,1,NA,1,NA,NA,60,6000,0,0,1,1,Arabic,"single, never married",300,6
129,15,NA,India,Qatar,NA,NA,Not working and not looking for work,NA,NA,NA,male,NA,0,0,1,NA,0,NA,NA,5,NA,0,0,0,NA,Tamil,"single, never married",500,48
130,41,I work from home,Turkey,Turkey,NA,Design,Self-employed freelancer,40000,NA,NA,male,NA,0,0,1,NA,1,NA,NA,7,20000,0,0,0,0,Turkish,married or domestic partnership,NA,10
131,19,NA,Egypt,Egypt,NA,NA,Not working and not looking for work,NA,NA,NA,male,NA,0,0,0,NA,0,NA,NA,35,NA,0,0,0,NA,Arabic,"single, never married",0,3
132,22,Less than 15 minutes,Canada,Canada,NA,Warehousing/Logistics,Employed for wages,50000,NA,NA,male,NA,1,0,1,0,0,1,NA,20,7500,0,0,0,1,English,"single, never married",NA,60
133,35,30 to 44 minutes,"Netherlands (Holland, Europe)","Netherlands (Holland, Europe)",software development and IT,NA,Self-employed freelancer,NA,0,0,female,0,0,1,1,NA,0,NA,NA,10,NA,0,0,1,0,Dutch,married or domestic partnership,3000,50
134,28,15 to 29 minutes,United Kingdom,United Kingdom,office and administrative support,NA,Employed for wages,NA,NA,NA,male,NA,1,0,1,1,0,1,200000,15,19000,0,0,0,1,English,married or domestic partnership,850,24
135,33,30 to 44 minutes,Norway,Norway,NA,Marketing,Employed for wages,NA,NA,NA,male,NA,1,0,1,0,1,1,NA,1,65000,0,0,0,1,Norwegian,married or domestic partnership,0,12
136,23,Less than 15 minutes,Sweden,Sweden,software development and IT,NA,Employed for wages,NA,NA,0,male,NA,0,0,1,NA,0,NA,NA,3,23882,0,0,1,0,Swedish,married or domestic partnership,0,12
137,24,NA,Poland,Poland,NA,NA,Not working and not looking for work,15000,NA,NA,female,NA,0,0,1,NA,0,NA,NA,50,NA,0,0,0,NA,Polish,"single, never married",NA,5
138,21,NA,India,India,NA,NA,Not working but looking for work,10000,NA,NA,male,NA,0,0,0,NA,0,NA,NA,15,NA,0,0,0,NA,Marathi,"single, never married",450,24
139,22,NA,Serbia,Serbia,NA,NA,Doing an unpaid internship,NA,NA,1,male,NA,0,0,1,NA,0,NA,NA,70,NA,0,0,1,NA,Serbian,"single, never married",0,54
140,30,NA,Canada,Canada,NA,NA,Not working and not looking for work,55000,NA,NA,female,NA,1,0,1,0,0,1,NA,10,NA,1,0,0,NA,English,"single, never married",50,18
141,23,45 to 60 minutes,United Kingdom,United Kingdom,software development and IT,NA,Employed for wages,NA,NA,0,male,NA,1,0,0,0,0,1,NA,20,26000,0,0,1,0,English,"single, never married",500,60
